names,attk,secrets
21667,CW,uQanIPgcoLRvvvLTFngKe5I
21667,FFGSM,Failed to find message.
21667,FGSM,Failed to find message.
21667,MIFGSM,Failed to find message.
21667,PGD,Failed to find message.
21667,RFGSM,Failed to find message.
21667,TPGD,Failed to find message.
22075,None,5XECBknXAGgB1k76PzwPDk8ffIsBoIUFtZm6bYWR
22075,BIM,Failed to find message.
22075,CW,5XECBknXAGgB1k76PzwPDk8ffIsBoIUFtZm6bYWR
22075,FFGSM,Failed to find message.
22075,FGSM,Failed to find message.
22075,MIFGSM,Failed to find message.
22075,PGD,Failed to find message.
22075,RFGSM,Failed to find message.
22075,TPGD,Failed to find message.
23464,None,Failed to find message.
23464,BIM,Failed to find message.
23464,CW,Failed to find message.
23464,FFGSM,Failed to find message.
23464,FGSM,Failed to find message.
23464,MIFGSM,Failed to find message.
23464,PGD,Failed to find message.
23464,RFGSM,Failed to find message.
23464,TPGD,Failed to find message.
24378,None,6pfz7iulUOnAj1mdv8IbjWgXj
24378,BIM,Failed to find message.
24378,CW,6pfz7iulUOnAj1mdv8IbjWgXj
24378,FFGSM,Failed to find message.
24378,FGSM,Failed to find message.
24378,MIFGSM,Failed to find message.
24378,PGD,Failed to find message.
24378,RFGSM,Failed to find message.
24378,TPGD,Failed to find message.
24680,None,Failed to find message.
24680,BIM,Failed to find message.
24680,CW,Failed to find message.
24680,FFGSM,Failed to find message.
24680,FGSM,Failed to find message.
24680,MIFGSM,Failed to find message.
24680,PGD,Failed to find message.
24680,RFGSM,Failed to find message.
24680,TPGD,Failed to find message.
24738,None,aaofpuZBLxzMH5i
24738,BIM,Failed to find message.
24738,CW,aaofpuZBLxzMH5i
24738,FFGSM,Failed to find message.
24738,FGSM,Failed to find message.
24738,MIFGSM,Failed to find message.
24738,PGD,Failed to find message.
24738,RFGSM,Failed to find message.
24738,TPGD,Failed to find message.
24935,None,H7Rm6pV4F0svW8h1tNRGv5nFwvs9lyh8JY
24935,BIM,Failed to find message.
24935,CW,H7Rm6pV4F0svW8h1tNRGv5nFwvs9lyh8JY
24935,FFGSM,Failed to find message.
24935,FGSM,Failed to find message.
24935,MIFGSM,Failed to find message.
24935,PGD,Failed to find message.
24935,RFGSM,Failed to find message.
24935,TPGD,Failed to find message.
25170,None,Failed to find message.
25170,BIM,Failed to find message.
25170,CW,Failed to find message.
25170,FFGSM,Failed to find message.
25170,FGSM,Failed to find message.
25170,MIFGSM,Failed to find message.
25170,PGD,Failed to find message.
25170,RFGSM,Failed to find message.
25170,TPGD,Failed to find message.
25408,None,WRp198hZJ9SVQszvQp9HHg8LYXUCcYeoVW0qg86COhLL
25408,BIM,Failed to find message.
25408,CW,WRp198hZJ9SVQszvQp9HHg8LYXUCcYeoVW0qg86COhLL
25408,FFGSM,Failed to find message.
25408,FGSM,Failed to find message.
25408,MIFGSM,Failed to find message.
25408,PGD,Failed to find message.
25408,RFGSM,Failed to find message.
25408,TPGD,Failed to find message.
25490,None,UW8xcMdLN00wc0KChaUu7fwH2
25490,BIM,Failed to find message.
25490,CW,UW8xcMdLN00wc0KChaUu7fwH2
25490,FFGSM,Failed to find message.
25490,FGSM,Failed to find message.
25490,MIFGSM,Failed to find message.
25490,PGD,Failed to find message.
25490,RFGSM,Failed to find message.
25490,TPGD,Failed to find message.
25580,None,i8agDDWwkABYTyS2ZZQCQ4e95tcbiEBGGujjwn89TJG8iJREw
25580,BIM,Failed to find message.
25580,CW,i8agDDWwkABYTyS2ZZQCQ4e95tcbiEBGGujjwn89TJG8iJREw
25580,FFGSM,Failed to find message.
25580,FGSM,Failed to find message.
25580,MIFGSM,Failed to find message.
